try 505, z = 0.1538873320377966
try 25, z = -0.7801830277023875
try 153, z = 0.25096104214262294
try 249, z = -0.9365039569941205
try 345, z = 0.4374749474495243
try 281, z = 1.0493515681001446
try 137, z = -1.5119868962594543
try 169, z = -3.0564849169187283
try 90, z = -1.1138508007000776
try 42, z = 0.1765613668294095
try 106, z = 0.778514227210115
try 410, z = 0.6147824778107437
try 330, z = 5.409014886630312
try 298, z = -0.5452226445406234
try 426, z = -0.2406951885889213
try 202, z = 1.9082811577707648
try 474, z = -0.15486347182723534
try 490, z = -0.9095539043755811
try 234, z = -1.124355193468926
try 314, z = -0.6152737775686364
try 394, z = 0.42004496128525237
try 10, z = -1.8708974366666007
try 218, z = 0.8979602646578502
try 362, z = 2.024743515822485
try 186, z = -1.0365177113645248
try 74, z = 0.6571537137453051
try 378, z = -0.8194656051752232
try 58, z = -0.3687415239003494
try 458, z = 0.6967973491172427
try 122, z = 1.183287808070069
try 266, z = 0.10058242950879757
try 442, z = 0.2384786529764938
try 154, z = -1.1793848456714247
try 26, z = -0.19206366015599982
try 250, z = -1.3518999141040677
try 506, z = -0.7094092748565501
try 346, z = -0.9189906686816357
try 138, z = -2.127833225143248
try 282, z = -1.4128497643599405
try 170, z = -1.6209356948512688
try 91, z = 0.06676518468745848
try 43, z = 1.2216334464981642
try 107, z = -0.6830936477793146
try 331, z = 1.760740439796312
try 411, z = -1.7386421807368047
try 299, z = 0.680406513691945
try 427, z = -0.7344181900240262
try 475, z = 0.5383492588487103
try 395, z = -1.6449823673652268
try 203, z = 0.2535943676473786
try 219, z = -0.7512337270779175
try 235, z = 0.752658831108066
try 363, z = 0.49548648913706117
try 491, z = 0.15316574332076988
try 59, z = -0.3098034570387604
try 315, z = -1.5182275239774665
try 379, z = -0.23946959937694082
try 11, z = -0.43571745551396995
try 187, z = -1.2687210277381393
try 75, z = -1.156726184213138
try 123, z = -0.6597557042553768
try 27, z = 0.9779914136001505
try 155, z = -0.3627408322189501
try 267, z = -0.6012096810963068
try 251, z = 1.197032194700173
try 507, z = -1.5868011271371243
try 459, z = -0.3255624917190872
try 443, z = -1.3098315873117305
try 347, z = -1.037422558657507
try 139, z = 0.0017127487711356268
try 283, z = -0.6572912622300378
try 171, z = -0.31433639749580006
try 44, z = -0.36002746177238837
try 92, z = -0.37112909012082973
try 108, z = 0.5380443451708679
try 412, z = -0.1659004879088746
try 300, z = -0.6572415674191414
try 332, z = -2.295067595042413
try 476, z = -0.14418092811167565
try 204, z = -0.8233894004413687
try 220, z = -0.5862967739271209
try 396, z = -0.3743663023529411
try 236, z = 0.4751448663677845
try 428, z = -1.3003828760514173
try 188, z = 0.13705914101694758
try 492, z = -0.2777890145269439
try 60, z = 0.11911360659517901
try 316, z = -0.5415693614636096
try 12, z = -0.09534919283075137
try 76, z = 1.601760505514839
try 364, z = -0.5270107090290846
