GeneID	meanvect
ENSG00000048545	0
ENSG00000048649	55.92
ENSG00000048707	11.99
ENSG00000048740	6.01
ENSG00000048828	89.245
ENSG00000048991	69.61
ENSG00000049089	0.335
ENSG00000049130	6.02
ENSG00000049167	14.17
ENSG00000049192	0.39
ENSG00000049239	3.7
ENSG00000049245	56.91
ENSG00000049246	1.38
ENSG00000049247	0.105
ENSG00000049249	0.12
ENSG00000049283	0.21
ENSG00000049323	9.985
ENSG00000049449	71.565
ENSG00000049540	0.02
ENSG00000049541	99.665
ENSG00000049618	42.41
ENSG00000049656	98.575
ENSG00000049759	10.825
ENSG00000049768	0.79
ENSG00000049769	3.755
ENSG00000049860	39.48
ENSG00000049883	6.215
ENSG00000050030	0.155
ENSG00000050130	34.54
ENSG00000050165	3.36
ENSG00000050327	0
ENSG00000050344	10.445
ENSG00000050393	27.865
ENSG00000050405	28.86
ENSG00000050426	49.3
ENSG00000050438	2.555
ENSG00000050555	2.065
ENSG00000050628	0.005
ENSG00000050730	0.11
ENSG00000050748	44.165
ENSG00000050767	0.53
ENSG00000050820	45.815
ENSG00000051009	15.405
ENSG00000051108	47.985
ENSG00000051128	5.82
ENSG00000051180	13.065
ENSG00000051341	15.105
ENSG00000051382	16.44
ENSG00000051523	109.855
ENSG00000051596	65.775
ENSG00000051620	62.23
ENSG00000051825	52.84
ENSG00000052126	16.94
ENSG00000052344	0.11
ENSG00000052723	24.375
ENSG00000052749	30.765
ENSG00000052795	8.61
ENSG00000052802	21.555
ENSG00000052841	37.945
ENSG00000052850	4.82
ENSG00000053108	0.325
ENSG00000053254	14.62
ENSG00000053328	0.32
ENSG00000053371	44.93
ENSG00000053372	48.41
ENSG00000053438	1.915
ENSG00000053501	15.285
ENSG00000053524	0.65
ENSG00000053702	1.775
ENSG00000053747	6.89
ENSG00000053770	25.57
ENSG00000053900	16.76
ENSG00000053918	1.245
ENSG00000054116	38.32
ENSG00000054118	124.11
ENSG00000054148	62.24
ENSG00000054179	0.395
ENSG00000054219	0.02
ENSG00000054267	47.21
ENSG00000054277	1.26
ENSG00000054282	13.84
ENSG00000054356	0.055
ENSG00000054392	1.62
ENSG00000054523	33.12
ENSG00000054598	97.225
ENSG00000054611	9.425
ENSG00000054654	10.9
ENSG00000054690	12.93
ENSG00000054793	8.24
ENSG00000054796	0
ENSG00000054803	0
ENSG00000054938	0.63
ENSG00000054965	20.2
ENSG00000054967	9.795
ENSG00000054983	0.57
ENSG00000055044	187.55
ENSG00000055070	92.73
ENSG00000055118	1.61
ENSG00000055130	75.73
ENSG00000055147	12.36
ENSG00000055163	32.685
ENSG00000055208	51.33
ENSG00000055211	20.505
ENSG00000055332	29.065
ENSG00000055483	32.915
ENSG00000055609	62.435
ENSG00000055732	11.91
ENSG00000055813	0.12
ENSG00000055917	29.075
ENSG00000055950	57.1
ENSG00000055955	2.395
ENSG00000055957	0
ENSG00000056050	23.75
ENSG00000056097	98.95
ENSG00000056277	17.775
ENSG00000056291	0.43
ENSG00000056487	4.085
ENSG00000056558	0.43
ENSG00000056586	40.975
ENSG00000056736	7.755
ENSG00000056972	11.275
ENSG00000056998	10.845
ENSG00000057019	27.555
ENSG00000057149	0
ENSG00000057252	28.88
ENSG00000057294	13.285
ENSG00000057468	0.585
ENSG00000057593	0
ENSG00000057608	160.525
ENSG00000057657	0.17
ENSG00000057663	20.51
ENSG00000057704	1.97
ENSG00000057757	36.68
ENSG00000057935	33.505
ENSG00000058056	37.845
ENSG00000058063	20.21
ENSG00000058085	0.325
ENSG00000058091	7.17
ENSG00000058262	122.125
ENSG00000058272	60.81
ENSG00000058335	0.34
ENSG00000058404	1.995
ENSG00000058453	14.4
ENSG00000058600	60.99
ENSG00000058668	18.545
ENSG00000058673	61.66
ENSG00000058729	32.51
ENSG00000058799	11.895
ENSG00000058804	42.49
ENSG00000058866	0.085
ENSG00000059122	30.335
ENSG00000059145	33.475
ENSG00000059377	2.635
ENSG00000059378	0.34
ENSG00000059573	89.67
ENSG00000059588	29.23
ENSG00000059691	22.25
ENSG00000059728	3.905
ENSG00000059758	14.2
ENSG00000059769	6.595
ENSG00000059804	3.98
ENSG00000059915	0.935
ENSG00000060069	9.18
ENSG00000060138	267.315
ENSG00000060140	1.01
ENSG00000060237	90.895
ENSG00000060303	0
ENSG00000060339	104.03
ENSG00000060491	31.92
ENSG00000060558	0.21
ENSG00000060566	0.13
ENSG00000060642	4.115
ENSG00000060656	22.175
ENSG00000060688	88.205
ENSG00000060709	0
ENSG00000060718	0.025
ENSG00000060749	42.55
ENSG00000060762	48.52
ENSG00000060971	28.365
ENSG00000060982	21.75
ENSG00000061273	14.145
ENSG00000061337	0.46
ENSG00000061455	12.355
ENSG00000061492	0.05
ENSG00000061656	2.95
ENSG00000061676	41.365
ENSG00000061794	57.32
ENSG00000061918	12.21
ENSG00000061936	47.58
ENSG00000061938	14.595
ENSG00000061987	16.435
ENSG00000062038	1.125
ENSG00000062096	0
ENSG00000062194	55.525
ENSG00000062282	1.865
ENSG00000062370	1.675
ENSG00000062485	223.555
ENSG00000062524	1.745
ENSG00000062582	91.7
ENSG00000062598	18.67
ENSG00000062650	30.18
ENSG00000062716	85.8
ENSG00000062725	21.63
ENSG00000062822	50.555
ENSG00000063015	0.44
ENSG00000063046	266.545
ENSG00000063127	0.965
ENSG00000063169	8.77
ENSG00000063176	14.82
ENSG00000063177	970.89
ENSG00000063180	11.245
ENSG00000063241	39.57
ENSG00000063244	221.855
ENSG00000063245	57.945
ENSG00000063322	25.325
ENSG00000063438	6.5
ENSG00000063515	0.045
ENSG00000063587	15.71
ENSG00000063601	41.455
ENSG00000063660	14.245
ENSG00000063761	10.255
ENSG00000063854	23.245
ENSG00000063978	36.215
ENSG00000064012	9.575
ENSG00000064042	3.505
ENSG00000064102	45.29
ENSG00000064115	59.84
ENSG00000064195	0.85
ENSG00000064199	10.97
ENSG00000064201	0.18
ENSG00000064205	0.315
ENSG00000064218	1.6
ENSG00000064225	10.815
ENSG00000064270	0.74
ENSG00000064300	0.395
ENSG00000064309	13.895
ENSG00000064313	25.19
ENSG00000064393	27.81
ENSG00000064419	43.265
ENSG00000064489	3.22
ENSG00000064490	36.095
ENSG00000064545	57.83
ENSG00000064547	6.39
ENSG00000064601	49.045
ENSG00000064607	50.54
ENSG00000064651	16.11
ENSG00000064652	9.63
ENSG00000064655	3.875
ENSG00000064666	24.085
ENSG00000064687	7.555
ENSG00000064692	1.325
ENSG00000064703	34.205
ENSG00000064726	75.855
ENSG00000064763	20.255
ENSG00000064787	0.085
ENSG00000064835	0
ENSG00000064886	0
ENSG00000064932	19.405
ENSG00000064933	17.63
ENSG00000064961	78.33
ENSG00000064989	0.46
ENSG00000064995	55.405
ENSG00000064999	16.635
ENSG00000065000	100.955
ENSG00000065029	15.025
ENSG00000065054	33.055
ENSG00000065057	27.94
ENSG00000065060	8.795
ENSG00000065135	10.975
ENSG00000065150	120.565
ENSG00000065154	102.44
ENSG00000065183	42.69
ENSG00000065243	45.135
ENSG00000065268	50.355
ENSG00000065308	6.81
ENSG00000065320	9.255
ENSG00000065325	0
ENSG00000065328	58.69
ENSG00000065357	10.005
ENSG00000065361	2.105
ENSG00000065371	0.045
ENSG00000065413	3.85
ENSG00000065427	102.67
ENSG00000065457	21.65
ENSG00000065485	20.42
ENSG00000065491	7.08
ENSG00000065518	199.01
ENSG00000065526	135.1
ENSG00000065534	3.505
ENSG00000065548	87.315
ENSG00000065559	16.845
ENSG00000065600	22.09
ENSG00000065609	5.45
ENSG00000065613	34.61
ENSG00000065615	12.82
ENSG00000065618	0.15
ENSG00000065621	2.37
ENSG00000065665	16.525
ENSG00000065675	2.05
ENSG00000065717	7.54
ENSG00000065802	11.17
ENSG00000065809	16.705
ENSG00000065833	12.145
ENSG00000065882	18.905
ENSG00000065883	39.16
ENSG00000065911	146.25
ENSG00000065923	7.265
ENSG00000065970	7.58
ENSG00000065978	1148.67
ENSG00000065989	4.625
ENSG00000066027	16.215
ENSG00000066032	0
ENSG00000066044	110.315
ENSG00000066056	0.04
ENSG00000066084	14.86
ENSG00000066117	77.98
ENSG00000066135	34.2
ENSG00000066136	47.3
ENSG00000066185	0.13
ENSG00000066230	2.215
ENSG00000066248	3.37
ENSG00000066279	45.69
ENSG00000066294	0.025
ENSG00000066322	45.44
ENSG00000066336	0.55
ENSG00000066379	16.315
ENSG00000066382	5.435
ENSG00000066405	0.255
ENSG00000066422	21.31
ENSG00000066427	12.695
ENSG00000066455	15.645
ENSG00000066468	14.755
ENSG00000066557	21.44
ENSG00000066583	35.765
ENSG00000066629	12.325
ENSG00000066651	18.705
ENSG00000066654	23.55
ENSG00000066697	22.6
ENSG00000066735	9.15
ENSG00000066739	15.375
ENSG00000066777	17.465
ENSG00000066813	0.025
ENSG00000066827	5.64
ENSG00000066855	39.145
ENSG00000066923	2.42
ENSG00000066926	35.355
ENSG00000066933	17.325
ENSG00000067048	0
ENSG00000067057	43.855
ENSG00000067064	26.805
ENSG00000067066	0.19
ENSG00000067082	10.615
ENSG00000067113	6.775
ENSG00000067141	26.685
ENSG00000067167	108.65
ENSG00000067177	14.405
ENSG00000067182	26.9
ENSG00000067191	1.665
ENSG00000067208	19.82
ENSG00000067221	4.69
ENSG00000067225	703.255
ENSG00000067248	28.34
ENSG00000067334	70.775
ENSG00000067365	17.55
ENSG00000067369	27.43
ENSG00000067445	18.595
ENSG00000067533	41.44
ENSG00000067560	311.57
ENSG00000067596	34.06
ENSG00000067601	0
ENSG00000067606	17.645
ENSG00000067646	0
